List of files ,Subject
3-B/2019-20/Pr.CCIT/Tech,Monthly DO - CIT-II
3-C/2019-20/Pr.CCIT/Tech,Monthly DO - CIT(CPC)
3-D/2019-20/Pr.CCIT/Tech,Monthly DO - CIT(Audit)
3-E/2019-20/Pr.CCIT/Tech,Monthly DO - CIT(TDS)
3-F/2019-20/Pr.CCIT/Tech,Monthly DO - CIT(LTU)
3-F(1)/2019-20/Pr.CCIT/Tech,DO Letters of member/Chairman
3-G/2019-20/Pr.CCIT/Tech,Monthly DO - APPEALS 
3-H/2019-20/Pr.CCIT/Tech,DO (MISC)
3-I/2019-20/Pr.CCIT/Tech,"MONTHLY DO CCIT-1, B'LURU"
3-J/2019-20/Pr.CCIT/Tech,"MONTHLY DO CCIT-2, B'LURU"
3-K/2019-20/Pr.CCIT/Tech,"MONTHLY DO CCIT(INTL.TAXN.), B'LURU"
3-L/2019-20/Pr.CCIT/Tech,"MONTHLY DO CCIT(TDS), B'LURU"
3-M/2019-20/Pr.CCIT/Tech,MONTHLY DO CIT(EXEM.) B'LURU
4/2019-20/Pr.CCIT/Tech,Monthly Survey Report
5/2019-20/Pr.CCIT/Tech,central Action Plan
5(A)/2019-20/Pr.CCIT/Tech,central action plan 2013-14
5(1)/2019-20/Pr.CCIT/Tech,MONITORING OF TRO's ACTION PLAN
6/2019-20/Pr.CCIT/Tech,Top 100 IT Payers & WT Payers
7-A/2019-20/Pr.CCIT/Tech,Top 100 Advance Tax Payers - Corporate
7-B/2019-20/Pr.CCIT/Tech,Top 100 Advance Tax Payers - Non- Corporate
7-C/2019-20/Pr.CCIT/Tech,ADVANCE TAX MONITORING - F.Y.2017-18
8/2019-20/Pr.CCIT/Tech,TRP
9/2019-20/Pr.CCIT/Tech,Computer Correspondence
9-A/2019-20/Pr.CCIT/Tech,Implementation of Document Identification Number(DIN)
10/2019-20/Pr.CCIT/Tech,AST Correspondence
11/2019-20/Pr.CCIT/Tech,CPC Correspondence
11(1)/2019-20/Pr.CCIT/Tech,demand fortnight
12-A/2019-20/Pr.CCIT/Tech,QPR - Part A
12-B/2019-20/Pr.CCIT/Tech,QPR - Part B
12-C/2019-20/Pr.CCIT/Tech,QPR - other than CC-I - Part A
12-D/2019-20/Pr.CCIT/Tech,QPR - other than CC-I - Part B
13/2019-20/Pr.CCIT/Tech,TRO Report
14/2019-20/Pr.CCIT/Tech,Aggregation of Agriculture Report
15/2019-20/Pr.CCIT/Tech,Quarterly Report on Write off of Arrears
16/2019-20/Pr.CCIT/Tech,Report on 80G
17/2019-20/Pr.CCIT/Tech,CAP - II Report
17-A/2019-20/Pr.CCIT/Tech,CAP-II - Reports received from other charges
17-B/2019-20/Pr.CCIT/Tech,roll out of new mis(cap-ii)
17-C/2019-20/Pr.CCIT/Tech,CAP-Centralised record management system (rms)
17-D/2019-20/Pr.CCIT/Tech,New cap-ii
18/2019-20/Pr.CCIT/Tech,Reports on Grievance petitions received from GC
19/2019-20/Pr.CCIT/Tech,REFUND-NARAYANAMURTHY-INFOSYS
20/2019-20/Pr.CCIT/Tech,SERVICE TAX
21/2019-20/Pr.CCIT/Tech,Special Economic Zone - Notification u/s 80IA4(iii)
22/2019-20/Pr.CCIT/Tech,Board's notifications
23/2019-20/Pr.CCIT/Tech,"matters pertaining to rti, 2005/monthly report on rti/uploading data"
23(1)/2019-20/Pr.CCIT/Tech,Monthly reports on rti
23-A/2019-20/Pr.CCIT/Tech,Designation of CPIOs & Appellate Authority
23-AA/2019-20/Pr.CCIT/Tech,RTI APPEALS CORRESPONDENCE
23-B/2019-20/Pr.CCIT/Tech,Forwarding of RTI Application
23-C/2019-20/Pr.CCIT/Tech,QuartERly Report of RTI
23-D/2019-20/Pr.CCIT/Tech,RTI Annual Return u/s 25 of RTI Act
23-E/2019-20/Pr.CCIT/Tech,RTI General File
23-F/2019-20/Pr.CCIT/Tech,Digest of RTI Cases
23-G/2019-20/Pr.CCIT/Tech,RTI Judgement
23-H/2019-20/Pr.CCIT/Tech,RTI JP Sharma
23-I/2019-20/Pr.CCIT/Tech,Decisions of Central Information Commission
23-J/2019-20/Pr.CCIT/Tech,orders received from other charges under rti act.
63B/2019-20/Pr.CCIT/Tech,Certificate of Registration of ITPs RECD. FROM OTHER OFFICES
24/2019-20/Pr.CCIT/Tech,Correspondence related to Survey
24-A/2019-20/Pr.CCIT/Tech,CIT-I Detail Survey Report
24-B/2019-20/Pr.CCIT/Tech,CIT-II Detail Survey Report
24-C/2019-20/Pr.CCIT/Tech,Detail Survey Report from other Charges
24-D/2019-20/Pr.CCIT/Tech,Search and Seizure Report from DIT(Inv)
25/2019-20/Pr.CCIT/Tech,Settlement  Commission Matters
26/2019-20/Pr.CCIT/Tech,Appointment of Special Standing Council
26-A/2019-20/Pr.CCIT/Tech,Correspondence - High Court Cell & Judicial Matters
26-B/2019-20/Pr.CCIT/Tech,Revenue Favorable Decisions  received from High court Cell
26-D/2019-20/Pr.CCIT/Tech,Court Matters
